日期,锻炼名称,时长,运动名称,设置顺序,重量,次,距离,秒,备注,锻炼备注,RPE
2020-09-29 07:10:22,"4.Pull",1小时13分钟,"Bent Over Row (Barbell)",1,44.09245243697551,5,0,0,"4x8","星期二",
2020-09-29 07:10:22,"4.Pull",1小时13分钟,"Bent Over Row (Barbell)",2,66.13867865546327,5,0,0,,,
2020-09-29 07:10:22,"4.Pull",1小时13分钟,"Bent Over Row (Barbell)",3,110.23113109243879,5,0,0,,,
2020-09-29 07:10:22,"4.Pull",1小时13分钟,"Bent Over Row (Barbell)",4,154.3235835294143,3,0,0,,,
2020-09-29 07:10:22,"4.Pull",1小时13分钟,"Bent Over Row (Barbell)",5,187.39292285714595,8,0,0,,,
2020-09-29 07:10:22,"4.Pull",1小时13分钟,"Bent Over Row (Barbell)",6,187.39292285714595,8,0,0,,,
2020-09-29 07:10:22,"4.Pull",1小时13分钟,"Bent Over Row (Barbell)",7,187.39292285714595,8,0,0,,,
2020-09-29 07:10:22,"4.Pull",1小时13分钟,"Bent Over Row (Barbell)",8,187.39292285714595,7,0,0,,,
2020-09-29 07:10:22,"4.Pull",1小时13分钟,"Chin Up",1,0,10,0,0,"3x10-12",,
2020-09-29 07:10:22,"4.Pull",1小时13分钟,"Chin Up",2,0,10,0,0,,,
2020-09-29 07:10:22,"4.Pull",1小时13分钟,"Chin Up",3,0,9,0,0,,,
2020-09-29 07:10:22,"4.Pull",1小时13分钟,"Seated Row (Cable)",1,132.27735731092653,12,0,0,"在昆明，用的不同器械",,
2020-09-29 07:10:22,"4.Pull",1小时13分钟,"Seated Row (Cable)",2,132.27735731092653,12,0,0,,,
2020-09-29 07:10:22,"4.Pull",1小时13分钟,"Seated Row (Cable)",3,132.27735731092653,12,0,0,,,
2020-09-29 07:10:22,"4.Pull",1小时13分钟,"Lat Pulldown (Machine)",1,107.47535281512782,12,0,0,"第二组反手，用的龙门架长把手",,
2020-09-29 07:10:22,"4.Pull",1小时13分钟,"Lat Pulldown (Machine)",2,107.47535281512782,12,0,0,,,
2020-09-29 07:10:22,"4.Pull",1小时13分钟,"Lat Pulldown (Machine)",3,107.47535281512782,13,0,0,,,
2020-09-29 07:10:22,"4.Pull",1小时13分钟,"Bicep Curl (Barbell)",1,55.11556554621939,12,0,0,"",,
2020-09-29 07:10:22,"4.Pull",1小时13分钟,"Bicep Curl (Barbell)",2,55.11556554621939,10,0,0,,,
2020-09-30 07:32:01,"5.Push",1小时18分钟,"Bench Press (Barbell)",1,214.95070563025564,5,0,0,"","星期三",
2020-09-30 07:32:01,"5.Push",1小时18分钟,"Bench Press (Barbell)",2,214.95070563025564,4,0,0,,,
2020-09-30 07:32:01,"5.Push",1小时18分钟,"Bench Press (Barbell)",3,214.95070563025564,4,0,0,,,
2020-09-30 07:32:01,"5.Push",1小时18分钟,"Bench Press (Barbell)",4,214.95070563025564,4,0,0,,,
2020-09-30 07:32:01,"5.Push",1小时18分钟,"Chest Fly",1,30.313561050420667,12,0,0,"",,
2020-09-30 07:32:01,"5.Push",1小时18分钟,"Chest Fly",2,30.313561050420667,12,0,0,,,
2020-09-30 07:32:01,"5.Push",1小时18分钟,"Chest Fly",3,30.313561050420667,12,0,0,,,
2020-09-30 07:32:01,"5.Push",1小时18分钟,"Seated Overhead Press (Dumbbell)",1,49.60400899159745,12,0,0,"",,
2020-09-30 07:32:01,"5.Push",1小时18分钟,"Seated Overhead Press (Dumbbell)",2,49.60400899159745,12,0,0,,,
2020-09-30 07:32:01,"5.Push",1小时18分钟,"Seated Overhead Press (Dumbbell)",3,49.60400899159745,11,0,0,,,
2020-09-30 07:32:01,"5.Push",1小时18分钟,"Lateral Raise (Dumbbell)",1,27.557782773109697,15,0,0,"",,
2020-09-30 07:32:01,"5.Push",1小时18分钟,"Lateral Raise (Dumbbell)",2,27.557782773109697,15,0,0,,,
2020-09-30 07:32:01,"5.Push",1小时18分钟,"Lateral Raise (Dumbbell)",3,27.557782773109697,15,0,0,,,
2020-09-30 07:32:01,"5.Push",1小时18分钟,"Lateral Raise (Dumbbell)",4,16.534669663865817,10,0,0,,,
2020-09-30 07:32:01,"5.Push",1小时18分钟,"Chest Press (Machine)",1,170.85825319328012,10,0,0,"",,
2020-09-30 07:32:01,"5.Push",1小时18分钟,"Chest Press (Machine)",2,170.85825319328012,10,0,0,,,
2020-09-30 07:32:01,"5.Push",1小时18分钟,"Triceps Extension (Dumbbell)",1,66.13867865546327,15,0,0,"",,
2020-09-30 07:32:01,"5.Push",1小时18分钟,"Triceps Extension (Dumbbell)",2,66.13867865546327,15,0,0,,,
2020-10-01 05:37:13,"6.Legs&Back",1小时21分钟,"Sumo Deadlift (Barbell)",1,44.09245243697551,5,0,0,"","星期四",
2020-10-01 05:37:13,"6.Legs&Back",1小时21分钟,"Sumo Deadlift (Barbell)",2,110.23113109243879,5,0,0,,,
2020-10-01 05:37:13,"6.Legs&Back",1小时21分钟,"Sumo Deadlift (Barbell)",3,176.36980974790205,5,0,0,,,
2020-10-01 05:37:13,"6.Legs&Back",1小时21分钟,"Sumo Deadlift (Barbell)",4,242.50848840336533,3,0,0,,,
2020-10-01 05:37:13,"6.Legs&Back",1小时21分钟,"Sumo Deadlift (Barbell)",5,286.60094084034085,3,0,0,,,
2020-10-01 05:37:13,"6.Legs&Back",1小时21分钟,"Sumo Deadlift (Barbell)",6,286.60094084034085,3,0,0,,,
2020-10-01 05:37:13,"6.Legs&Back",1小时21分钟,"Sumo Deadlift (Barbell)",7,286.60094084034085,3,0,0,,,
2020-10-01 05:37:13,"6.Legs&Back",1小时21分钟,"Sumo Deadlift (Barbell)",8,286.60094084034085,3,0,0,,,
2020-10-01 05:37:13,"6.Legs&Back",1小时21分钟,"Chin Up",1,0,10,0,0,"",,
2020-10-01 05:37:13,"6.Legs&Back",1小时21分钟,"Chin Up",2,0,10,0,0,,,
2020-10-01 05:37:13,"6.Legs&Back",1小时21分钟,"Chin Up",3,0,9,0,0,,,
2020-10-01 05:37:13,"6.Legs&Back",1小时21分钟,"Leg Extension (Machine)",1,231.48537529412144,12,0,0,"",,
2020-10-01 05:37:13,"6.Legs&Back",1小时21分钟,"Leg Extension (Machine)",2,231.48537529412144,12,0,0,,,
2020-10-01 05:37:13,"6.Legs&Back",1小时21分钟,"Leg Extension (Machine)",3,231.48537529412144,12,0,0,,,
2020-10-01 05:37:13,"6.Legs&Back",1小时21分钟,"Lying Leg Curl (Machine)",1,104.71957453781684,12,0,0,"",,
2020-10-01 05:37:13,"6.Legs&Back",1小时21分钟,"Lying Leg Curl (Machine)",2,104.71957453781684,12,0,0,,,
2020-10-01 05:37:13,"6.Legs&Back",1小时21分钟,"Lying Leg Curl (Machine)",3,104.71957453781684,12,0,0,,,
2020-10-01 05:37:13,"6.Legs&Back",1小时21分钟,"Bent Over One Arm Row (Dumbbell)",1,66.13867865546327,15,0,0,"",,
2020-10-01 05:37:13,"6.Legs&Back",1小时21分钟,"Bent Over One Arm Row (Dumbbell)",2,66.13867865546327,15,0,0,,,
2020-10-01 05:37:13,"6.Legs&Back",1小时21分钟,"Lat Pulldown (Single Arm)",1,63.3829003781523,12,0,0,"热身的单手正手引体动作",,
2020-10-01 05:37:13,"6.Legs&Back",1小时21分钟,"Lat Pulldown (Single Arm)",2,63.3829003781523,12,0,0,,,
2020-10-01 05:37:13,"6.Legs&Back",1小时21分钟,"Lat Pulldown (Single Arm)",3,63.3829003781523,12,0,0,,,
2020-10-02 02:59:28,"1.Push",1小时16分钟,"Bench Press (Barbell)",1,44.09245243697551,5,0,0,"","星期五",
2020-10-02 02:59:28,"1.Push",1小时16分钟,"Bench Press (Barbell)",2,110.23113109243879,5,0,0,,,
2020-10-02 02:59:28,"1.Push",1小时16分钟,"Bench Press (Barbell)",3,176.36980974790205,3,0,0,,,
2020-10-02 02:59:28,"1.Push",1小时16分钟,"Bench Press (Barbell)",4,214.95070563025564,5,0,0,,,
2020-10-02 02:59:28,"1.Push",1小时16分钟,"Bench Press (Barbell)",5,214.95070563025564,5,0,0,,,
2020-10-02 02:59:28,"1.Push",1小时16分钟,"Bench Press (Barbell)",6,214.95070563025564,4,0,0,,,
2020-10-02 02:59:28,"1.Push",1小时16分钟,"Bench Press (Barbell)",7,214.95070563025564,4,0,0,,,
2020-10-02 02:59:28,"1.Push",1小时16分钟,"Chest Fly",1,30.313561050420667,12,0,0,"",,
2020-10-02 02:59:28,"1.Push",1小时16分钟,"Chest Fly",2,30.313561050420667,12,0,0,,,
2020-10-02 02:59:28,"1.Push",1小时16分钟,"Chest Fly",3,30.313561050420667,12,0,0,,,
2020-10-02 02:59:28,"1.Push",1小时16分钟,"Seated Overhead Press (Dumbbell)",1,48.50169768067307,12,0,0,"",,
2020-10-02 02:59:28,"1.Push",1小时16分钟,"Seated Overhead Press (Dumbbell)",2,48.50169768067307,12,0,0,,,
2020-10-02 02:59:28,"1.Push",1小时16分钟,"Seated Overhead Press (Dumbbell)",3,48.50169768067307,11,0,0,,,
2020-10-02 02:59:28,"1.Push",1小时16分钟,"Lateral Raise (Dumbbell)",1,27.557782773109697,15,0,0,"",,
2020-10-02 02:59:28,"1.Push",1小时16分钟,"Lateral Raise (Dumbbell)",2,27.557782773109697,15,0,0,,,
2020-10-02 02:59:28,"1.Push",1小时16分钟,"Lateral Raise (Dumbbell)",3,27.557782773109697,15,0,0,,,
2020-10-02 02:59:28,"1.Push",1小时16分钟,"Lateral Raise (Dumbbell)",4,16.534669663865817,12,0,0,,,
2020-10-02 02:59:28,"1.Push",1小时16分钟,"Chest Press (Machine)",1,176.36980974790205,10,0,0,"第五格",,
2020-10-02 02:59:28,"1.Push",1小时16分钟,"Chest Press (Machine)",2,176.36980974790205,10,0,0,,,
2020-10-02 02:59:28,"1.Push",1小时16分钟,"Triceps Pushdown (Cable - Straight Bar)",1,35.82511760504261,15,0,0,"",,
2020-10-02 02:59:28,"1.Push",1小时16分钟,"Triceps Pushdown (Cable - Straight Bar)",2,35.82511760504261,14,0,0,,,
2020-10-03 05:36:01,"2.Pull",1小时12分钟,"Chin Up",1,0.0,10,0,0,"","周六",
2020-10-03 05:36:01,"2.Pull",1小时12分钟,"Chin Up",2,0.0,10,0,0,,,
2020-10-03 05:36:01,"2.Pull",1小时12分钟,"Chin Up",3,0.0,9,0,0,,,
2020-10-03 05:36:01,"2.Pull",1小时12分钟,"Chin Up",4,0.0,7,0,0,,,
2020-10-03 05:36:01,"2.Pull",1小时12分钟,"Bent Over Row (Barbell)",1,154.3235835294143,12,0,0,"",,
2020-10-03 05:36:01,"2.Pull",1小时12分钟,"Bent Over Row (Barbell)",2,154.3235835294143,12,0,0,,,
2020-10-03 05:36:01,"2.Pull",1小时12分钟,"Bent Over Row (Barbell)",3,154.3235835294143,12,0,0,,,
2020-10-03 05:36:01,"2.Pull",1小时12分钟,"Lat Pulldown (Single Arm)",1,68.89445693277425,10,0,0,"",,
2020-10-03 05:36:01,"2.Pull",1小时12分钟,"Lat Pulldown (Single Arm)",2,68.89445693277425,10,0,0,,,
2020-10-03 05:36:01,"2.Pull",1小时12分钟,"Lat Pulldown (Single Arm)",3,68.89445693277425,10,0,0,,,
2020-10-03 05:36:01,"2.Pull",1小时12分钟,"Bent Over One Arm Row (Dumbbell)",1,66.13867865546327,15,0,0,"",,
2020-10-03 05:36:01,"2.Pull",1小时12分钟,"Bent Over One Arm Row (Dumbbell)",2,66.13867865546327,15,0,0,,,
2020-10-03 05:36:01,"2.Pull",1小时12分钟,"Bent Over One Arm Row (Dumbbell)",3,66.13867865546327,14,0,0,,,
2020-10-03 05:36:01,"2.Pull",1小时12分钟,"Bicep Curl (Dumbbell)",1,27.557782773109697,12,0,0,"",,
2020-10-03 05:36:01,"2.Pull",1小时12分钟,"Bicep Curl (Dumbbell)",2,27.557782773109697,10,0,0,,,
2020-10-03 05:36:01,"2.Pull",1小时12分钟,"Bicep Curl (Dumbbell)",3,27.557782773109697,8,0,0,,,
2020-10-05 08:14:49,"3.Push+Legs",49分钟,"Bench Press (Barbell)",1,44.09245243697551,5,0,0,"4x10","星期一 deload",
2020-10-05 08:14:49,"3.Push+Legs",49分钟,"Bench Press (Barbell)",2,66.13867865546327,5,0,0,,,
2020-10-05 08:14:49,"3.Push+Legs",49分钟,"Bench Press (Barbell)",3,110.23113109243879,5,0,0,,,
2020-10-05 08:14:49,"3.Push+Legs",49分钟,"Bench Press (Barbell)",4,143.30047042017043,3,0,0,,,
2020-10-05 08:14:49,"3.Push+Legs",49分钟,"Bench Press (Barbell)",5,165.3466966386582,10,0,0,,,
2020-10-05 08:14:49,"3.Push+Legs",49分钟,"Bench Press (Barbell)",6,165.3466966386582,10,0,0,,,
2020-10-05 08:14:49,"3.Push+Legs",49分钟,"Bench Press (Barbell)",7,165.3466966386582,10,0,0,,,
2020-10-05 08:14:49,"3.Push+Legs",49分钟,"Chest Fly",1,30.313561050420667,10,0,0,"3x12",,
2020-10-05 08:14:49,"3.Push+Legs",49分钟,"Chest Fly",2,30.313561050420667,10,0,0,,,
2020-10-05 08:14:49,"3.Push+Legs",49分钟,"Overhead Press (Barbell)",1,99.2080179831949,6,0,0,"4x6",,
2020-10-05 08:14:49,"3.Push+Legs",49分钟,"Overhead Press (Barbell)",2,99.2080179831949,6,0,0,,,
2020-10-05 08:14:49,"3.Push+Legs",49分钟,"Overhead Press (Barbell)",3,99.2080179831949,6,0,0,,,
2020-10-05 08:14:49,"3.Push+Legs",49分钟,"Lateral Raise (Dumbbell)",1,22.046226218487757,15,0,0,"3x15",,
2020-10-05 08:14:49,"3.Push+Legs",49分钟,"Lateral Raise (Dumbbell)",2,22.046226218487757,15,0,0,,,
2020-10-05 08:14:49,"3.Push+Legs",49分钟,"Leg Extension (Machine)",1,209.43914907563368,12,0,0,"超级组\n各3x12",,
2020-10-05 08:14:49,"3.Push+Legs",49分钟,"Leg Extension (Machine)",2,209.43914907563368,12,0,0,,,
2020-10-05 08:14:49,"3.Push+Legs",49分钟,"Lying Leg Curl (Machine)",1,99.2080179831949,12,0,0,"",,
2020-10-05 08:14:49,"3.Push+Legs",49分钟,"Lying Leg Curl (Machine)",2,99.2080179831949,12,0,0,,,
2020-10-05 08:14:49,"3.Push+Legs",49分钟,"Chest Press (Machine)",1,165.3466966386582,10,0,0,"2x10",,
2020-10-05 08:14:49,"3.Push+Legs",49分钟,"Chest Press (Machine)",2,165.3466966386582,10,0,0,,,
2020-10-07 04:39:49,"5.Push",1小时1分钟,"Bench Press (Barbell)",1,44.09245243697551,5,0,0,"","星期三",
2020-10-07 04:39:49,"5.Push",1小时1分钟,"Bench Press (Barbell)",2,110.23113109243879,5,0,0,,,
2020-10-07 04:39:49,"5.Push",1小时1分钟,"Bench Press (Barbell)",3,154.3235835294143,3,0,0,,,
2020-10-07 04:39:49,"5.Push",1小时1分钟,"Bench Press (Barbell)",4,187.39292285714595,5,0,0,,,
2020-10-07 04:39:49,"5.Push",1小时1分钟,"Bench Press (Barbell)",5,187.39292285714595,5,0,0,,,
2020-10-07 04:39:49,"5.Push",1小时1分钟,"Bench Press (Barbell)",6,187.39292285714595,5,0,0,,,
2020-10-07 04:39:49,"5.Push",1小时1分钟,"Chest Fly",1,119.04962157983388,12,0,0,"",,
2020-10-07 04:39:49,"5.Push",1小时1分钟,"Chest Fly",2,119.04962157983388,12,0,0,,,
2020-10-07 04:39:49,"5.Push",1小时1分钟,"Seated Overhead Press (Dumbbell)",1,44.09245243697551,12,0,0,"",,
2020-10-07 04:39:49,"5.Push",1小时1分钟,"Seated Overhead Press (Dumbbell)",2,44.09245243697551,12,0,0,,,
2020-10-07 04:39:49,"5.Push",1小时1分钟,"Lateral Raise (Dumbbell)",1,22.046226218487757,15,0,0,"",,
2020-10-07 04:39:49,"5.Push",1小时1分钟,"Lateral Raise (Dumbbell)",2,27.557782773109697,15,0,0,,,
2020-10-07 04:39:49,"5.Push",1小时1分钟,"Chest Press (Machine)",1,176.36980974790205,10,0,0,"",,
2020-10-07 04:39:49,"5.Push",1小时1分钟,"Chest Press (Machine)",2,176.36980974790205,10,0,0,,,
2020-10-07 04:39:49,"5.Push",1小时1分钟,"Triceps Extension (Dumbbell)",1,66.13867865546327,12,0,0,"",,
2020-10-07 04:39:49,"5.Push",1小时1分钟,"Triceps Extension (Dumbbell)",2,66.13867865546327,12,0,0,,,
2020-10-09 06:01:44,"1.Push",43分钟,"Bench Press (Barbell)",1,44.09245243697551,5,0,0,"","星期五\ndeloadp",
2020-10-09 06:01:44,"1.Push",43分钟,"Bench Press (Barbell)",2,110.23113109243879,5,0,0,,,
2020-10-09 06:01:44,"1.Push",43分钟,"Bench Press (Barbell)",3,176.36980974790205,3,0,0,,,
2020-10-09 06:01:44,"1.Push",43分钟,"Bench Press (Barbell)",4,187.39292285714595,5,0,0,,,
2020-10-09 06:01:44,"1.Push",43分钟,"Bench Press (Barbell)",5,187.39292285714595,5,0,0,,,
2020-10-09 06:01:44,"1.Push",43分钟,"Bench Press (Barbell)",6,187.39292285714595,5,0,0,,,
2020-10-09 06:01:44,"1.Push",43分钟,"Chest Fly",1,119.04962157983388,12,0,0,"",,
2020-10-09 06:01:44,"1.Push",43分钟,"Chest Fly",2,119.04962157983388,12,0,0,,,
2020-10-09 06:01:44,"1.Push",43分钟,"Seated Overhead Press (Dumbbell)",1,44.09245243697551,12,0,0,"",,
2020-10-09 06:01:44,"1.Push",43分钟,"Seated Overhead Press (Dumbbell)",2,44.09245243697551,12,0,0,,,
2020-10-09 06:01:44,"1.Push",43分钟,"Lateral Raise (Dumbbell)",1,22.046226218487757,15,0,0,"",,
2020-10-09 06:01:44,"1.Push",43分钟,"Lateral Raise (Dumbbell)",2,22.046226218487757,15,0,0,,,
2020-10-09 06:01:44,"1.Push",43分钟,"Chest Press (Machine)",1,176.36980974790205,10,0,0,"",,
2020-10-09 06:01:44,"1.Push",43分钟,"Chest Press (Machine)",2,176.36980974790205,10,0,0,,,
2020-10-10 05:02:24,"2.Pull",54分钟,"Chin Up",1,22.046226218487757,5,0,0,"","周六",
2020-10-10 05:02:24,"2.Pull",54分钟,"Chin Up",2,22.046226218487757,5,0,0,,,
2020-10-10 05:02:24,"2.Pull",54分钟,"Chin Up",3,22.046226218487757,5,0,0,,,
2020-10-10 05:02:24,"2.Pull",54分钟,"Bent Over Row (Barbell)",1,132.27735731092653,12,0,0,"",,
2020-10-10 05:02:24,"2.Pull",54分钟,"Bent Over Row (Barbell)",2,132.27735731092653,12,0,0,,,
2020-10-10 05:02:24,"2.Pull",54分钟,"Lat Pulldown (Single Arm)",1,99.2080179831949,12,0,0,"",,
2020-10-10 05:02:24,"2.Pull",54分钟,"Lat Pulldown (Single Arm)",2,99.2080179831949,12,0,0,,,
2020-10-10 05:02:24,"2.Pull",54分钟,"Seated Row (Cable)",1,200.6206585882386,12,0,0,"",,
2020-10-10 05:02:24,"2.Pull",54分钟,"Seated Row (Cable)",2,200.6206585882386,12,0,0,,,
2020-10-10 05:02:24,"2.Pull",54分钟,"Bicep Curl (Dumbbell)",1,22.046226218487757,12,0,0,"",,
2020-10-10 05:02:24,"2.Pull",54分钟,"Bicep Curl (Dumbbell)",2,22.046226218487757,12,0,0,,,
2020-10-10 05:02:24,"2.Pull",54分钟,"Reverse Fly (Machine)",1,99.2080179831949,15,0,0,"",,
2020-10-12 05:03:56,"3.Push+Legs",1小时27分钟,"Bench Press (Barbell)",1,44.09245243697551,5,0,0,"4x10","星期一",
2020-10-12 05:03:56,"3.Push+Legs",1小时27分钟,"Bench Press (Barbell)",2,66.13867865546327,5,0,0,,,
2020-10-12 05:03:56,"3.Push+Legs",1小时27分钟,"Bench Press (Barbell)",3,110.23113109243879,5,0,0,,,
2020-10-12 05:03:56,"3.Push+Legs",1小时27分钟,"Bench Press (Barbell)",4,143.30047042017043,3,0,0,,,
2020-10-12 05:03:56,"3.Push+Legs",1小时27分钟,"Bench Press (Barbell)",5,181.881366302524,10,0,0,,,
2020-10-12 05:03:56,"3.Push+Legs",1小时27分钟,"Bench Press (Barbell)",6,181.881366302524,10,0,0,,,
2020-10-12 05:03:56,"3.Push+Legs",1小时27分钟,"Bench Press (Barbell)",7,181.881366302524,9,0,0,,,
2020-10-12 05:03:56,"3.Push+Legs",1小时27分钟,"Bench Press (Barbell)",8,181.881366302524,8,0,0,,,
2020-10-12 05:03:56,"3.Push+Legs",1小时27分钟,"Chest Fly",1,141.09584779832164,12,0,0,"3x12",,
2020-10-12 05:03:56,"3.Push+Legs",1小时27分钟,"Chest Fly",2,141.09584779832164,12,0,0,,,
2020-10-12 05:03:56,"3.Push+Legs",1小时27分钟,"Chest Fly",3,141.09584779832164,11,0,0,,,
2020-10-12 05:03:56,"3.Push+Legs",1小时27分钟,"Overhead Press (Barbell)",1,115.74268764706072,6,0,0,"4x6",,
2020-10-12 05:03:56,"3.Push+Legs",1小时27分钟,"Overhead Press (Barbell)",2,115.74268764706072,6,0,0,,,
2020-10-12 05:03:56,"3.Push+Legs",1小时27分钟,"Overhead Press (Barbell)",3,115.74268764706072,6,0,0,,,
2020-10-12 05:03:56,"3.Push+Legs",1小时27分钟,"Overhead Press (Barbell)",4,115.74268764706072,5,0,0,,,
2020-10-12 05:03:56,"3.Push+Legs",1小时27分钟,"Lateral Raise (Dumbbell)",1,26.455471462185308,15,0,0,"3x15",,
2020-10-12 05:03:56,"3.Push+Legs",1小时27分钟,"Lateral Raise (Dumbbell)",2,26.455471462185308,15,0,0,,,
2020-10-12 05:03:56,"3.Push+Legs",1小时27分钟,"Lateral Raise (Dumbbell)",3,26.455471462185308,15,0,0,,,
2020-10-12 05:03:56,"3.Push+Legs",1小时27分钟,"Lateral Raise (Dumbbell)",4,17.636980974790205,10,0,0,,,
2020-10-12 05:03:56,"3.Push+Legs",1小时27分钟,"Leg Extension (Machine)",1,229.28075267227268,12,0,0,"超级组\n各3x12",,
2020-10-12 05:03:56,"3.Push+Legs",1小时27分钟,"Leg Extension (Machine)",2,229.28075267227268,12,0,0,,,
2020-10-12 05:03:56,"3.Push+Legs",1小时27分钟,"Leg Extension (Machine)",3,229.28075267227268,11,0,0,,,
2020-10-12 05:03:56,"3.Push+Legs",1小时27分钟,"Lying Leg Curl (Machine)",1,83.77565963025347,12,0,0,"",,
2020-10-12 05:03:56,"3.Push+Legs",1小时27分钟,"Lying Leg Curl (Machine)",2,83.77565963025347,12,0,0,,,
2020-10-12 05:03:56,"3.Push+Legs",1小时27分钟,"Lying Leg Curl (Machine)",3,83.77565963025347,11,0,0,,,
2020-10-12 05:03:56,"3.Push+Legs",1小时27分钟,"Chest Press (Machine)",1,203.92759252101175,10,0,0,"2x10",,
2020-10-12 05:03:56,"3.Push+Legs",1小时27分钟,"Chest Press (Machine)",2,203.92759252101175,9,0,0,,,
2020-10-13 01:10:13,"4.Pull",1小时5分钟,"Bent Over Row (Barbell)",1,44.09245243697551,5,0,0,"4x8","星期二\n以后划船删除了......",
2020-10-13 01:10:13,"4.Pull",1小时5分钟,"Bent Over Row (Barbell)",2,66.13867865546327,5,0,0,,,
2020-10-13 01:10:13,"4.Pull",1小时5分钟,"Bent Over Row (Barbell)",3,110.23113109243879,5,0,0,,,
2020-10-13 01:10:13,"4.Pull",1小时5分钟,"Bent Over Row (Barbell)",4,143.30047042017043,3,0,0,,,
2020-10-13 01:10:13,"4.Pull",1小时5分钟,"Bent Over Row (Barbell)",5,187.39292285714595,8,0,0,,,
2020-10-13 01:10:13,"4.Pull",1小时5分钟,"Bent Over Row (Barbell)",6,187.39292285714595,8,0,0,,,
2020-10-13 01:10:13,"4.Pull",1小时5分钟,"Bent Over Row (Barbell)",7,176.36980974790205,8,0,0,,,
2020-10-13 01:10:13,"4.Pull",1小时5分钟,"Chin Up",1,0,10,0,0,"3x10-12",,
2020-10-13 01:10:13,"4.Pull",1小时5分钟,"Chin Up",2,0,10,0,0,,,
2020-10-13 01:10:13,"4.Pull",1小时5分钟,"Chin Up",3,0,8,0,0,,,
2020-10-13 01:10:13,"4.Pull",1小时5分钟,"Seated Row (Cable)",1,220.46226218487757,12,0,0,"",,
2020-10-13 01:10:13,"4.Pull",1小时5分钟,"Seated Row (Cable)",2,220.46226218487757,12,0,0,,,
2020-10-13 01:10:13,"4.Pull",1小时5分钟,"Seated Row (Cable)",3,220.46226218487757,11,0,0,,,
2020-10-13 01:10:13,"4.Pull",1小时5分钟,"Lat Pulldown (Machine)",1,198.4160359663898,12,0,0,"",,
2020-10-13 01:10:13,"4.Pull",1小时5分钟,"Lat Pulldown (Machine)",2,198.4160359663898,10,0,0,,,
2020-10-13 01:10:13,"4.Pull",1小时5分钟,"Lat Pulldown (Machine)",3,198.4160359663898,10,0,0,,,
2020-10-13 01:10:13,"4.Pull",1小时5分钟,"Reverse Fly (Machine)",1,110.23113109243879,15,0,0,"",,
2020-10-13 01:10:13,"4.Pull",1小时5分钟,"Reverse Fly (Machine)",2,110.23113109243879,15,0,0,,,
2020-10-13 01:10:13,"4.Pull",1小时5分钟,"Bicep Curl (Barbell)",1,55.11556554621939,12,0,0,"",,
2020-10-13 01:10:13,"4.Pull",1小时5分钟,"Bicep Curl (Barbell)",2,55.11556554621939,12,0,0,,,
2020-10-14 04:49:05,"5.Push",1小时23分钟,"Bench Press (Barbell)",1,44.09245243697551,5,0,0,"","星期三",
2020-10-14 04:49:05,"5.Push",1小时23分钟,"Bench Press (Barbell)",2,110.23113109243879,5,0,0,,,
2020-10-14 04:49:05,"5.Push",1小时23分钟,"Bench Press (Barbell)",3,176.36980974790205,3,0,0,,,
2020-10-14 04:49:05,"5.Push",1小时23分钟,"Bench Press (Barbell)",4,214.95070563025564,5,0,0,,,
2020-10-14 04:49:05,"5.Push",1小时23分钟,"Bench Press (Barbell)",5,214.95070563025564,4,0,0,,,
2020-10-14 04:49:05,"5.Push",1小时23分钟,"Bench Press (Barbell)",6,214.95070563025564,4,0,0,,,
2020-10-14 04:49:05,"5.Push",1小时23分钟,"Bench Press (Barbell)",7,214.95070563025564,4,0,0,,,
2020-10-14 04:49:05,"5.Push",1小时23分钟,"Chest Fly",1,141.09584779832164,12,0,0,"",,
2020-10-14 04:49:05,"5.Push",1小时23分钟,"Chest Fly",2,141.09584779832164,12,0,0,,,
2020-10-14 04:49:05,"5.Push",1小时23分钟,"Chest Fly",3,141.09584779832164,11,0,0,,,
2020-10-14 04:49:05,"5.Push",1小时23分钟,"Seated Overhead Press (Dumbbell)",1,48.50169768067307,12,0,0,"",,
2020-10-14 04:49:05,"5.Push",1小时23分钟,"Seated Overhead Press (Dumbbell)",2,48.50169768067307,12,0,0,,,
2020-10-14 04:49:05,"5.Push",1小时23分钟,"Seated Overhead Press (Dumbbell)",3,48.50169768067307,10,0,0,,,
2020-10-14 04:49:05,"5.Push",1小时23分钟,"Lateral Raise (Dumbbell)",1,26.455471462185308,15,0,0,"",,
2020-10-14 04:49:05,"5.Push",1小时23分钟,"Lateral Raise (Dumbbell)",2,26.455471462185308,15,0,0,,,
2020-10-14 04:49:05,"5.Push",1小时23分钟,"Lateral Raise (Dumbbell)",3,26.455471462185308,15,0,0,,,
2020-10-14 04:49:05,"5.Push",1小时23分钟,"Chest Press (Machine)",1,203.92759252101175,10,0,0,"",,
2020-10-14 04:49:05,"5.Push",1小时23分钟,"Chest Press (Machine)",2,203.92759252101175,10,0,0,,,
2020-10-14 04:49:05,"5.Push",1小时23分钟,"Triceps Extension (Dumbbell)",1,66.13867865546327,15,0,0,"",,
2020-10-14 04:49:05,"5.Push",1小时23分钟,"Triceps Extension (Dumbbell)",2,66.13867865546327,13,0,0,,,
2020-10-15 06:09:44,"6.Legs&Back",1小时23分钟,"Sumo Deadlift (Barbell)",1,44.09245243697551,5,0,0,"","星期四",
